CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
00180;VANTAGEM PECUNIARIA-MIN.ESTADO;;
00181;GRATIFICACAO NATALINA - AP;;
00182;ADIANT.GRATIF.NATALINA - AP;;
00183;GRAT.NATALINA PROPORCIONAL  AP;;
00184;GRAT.NATALINA-PENSIONISTA;;
00185;ADIANT.GRAT.NATALINA/PENSION.;;
00186;GRAT. P/ ENGENHEIRO AGRONOMO;;
00187;GRAT.P/ ENGENHEIRO AGRON.-APOS;X;X
00188;REPR.MENSAL DEC LEI 2333/87 AT;X;X
00189;REPR.MENSAL DEC LEI 2333/87 AP;X;X
00190;ACRESCIMO VENC OU SALARIO-CLT;X;X
00191;ACRESC.VENC.OU SALARIO - APOS.;X;X
00192;GRAT.EST.FISC.ARREC.TRIB.FED/A;X;X
00193;GRAT.LEI 8460/92 ART.7 ATIVO;X;X
00194;REEMBOLSO/CRECHE-D93408/86 CLT;;
00195;INDENIZ.HABIL.POLICIAL FED./AT;X;X
00196;INDENIZ.HABIL.POLICIAL FED./AP;X;X
00197;GRAT.EST.F.A.TRIB.FED.APOS-AGR;X;X
00198;GRAT.DEC.LEI 2365/87 ATIVO;X;X
00199;GRAT.DEC.LEI 2365/87-APOS-AGRE;X;X
00200;INDENIZACAO DE MORADIA(PF)CLT;;
00201;GRAT.DESEMP.ATIV.MINERAL(ATIV);;
00202;GRAT.DESEMP.ATIV.MINERAL(INAT);;
00203;GRAT. P/ ATIV.DIPLOMATICA/ATIV;;
00204;GRAT. P/ ATIV.DIPLOMATICA/INAT;;
00205;GRAT.HABIL.PROF.E ACESSO/ATIVO;X;X
00206;GRAT.HABIL.PROF.E ACESSO-APOS.;X;X
00207;GRAT.DOUTORADO-SUB-JUDICE 50%;X;X
00208;GRAT.DOUTORADO-SUB-JUDICE 50%;X;X
00209;GRAT.MESTRADO-SUB-JUDICE 25%;X;X
00210;GRAT.MESTRADO-SUB-JUDICE 25%;X;X
00211;GRAT.ESPECIALIZACAO-SUB-JUDICE;X;X
00212;GRAT.ESPECIALIZACAO SUB-JUDICE;X;X
00213;AJUDA DE CUSTO - CLT;;
00214;ADIC.DE TITUL.ESP/MES/DOUT;X;X
00215;RESSARCIMENTO POS GRADUCAO CLT;X;X
00216;PROD.MAGISTERIO SUPER. - APOS.;X;X
00217;COMPL.SAL.DNOS/DNOCS(S.JUD)ATI;X;X
00218;COMP.SAL.DNOS/DNOCS(S.JUD)APOS;X;X
00219;EXERC. ANTERIOR APOSENTADOS;;
00220;FERIAS - ADICIONAL 1/3;;
00221;VENCIMENTO - ABONO LEI 7706;X;X
00222;VENC.AGREGADO ABONO L.7706 AP;X;X
00223;VENCIMENTO ABONO LEI7706/PENSI;X;X
00224;ADIANT.PECUNIARIO/SIMPAS-ATIVO;X;X
00225;ADIANT.PECUNIARIO/SIMPAS-AGRE.;X;X
00226;GRAT.EXTRAORD.LEI 7753/89-ATIV;X;X
00227;GRAT.EXTRAORD.LEI 7753/89-APOS;X;X
00228;GRAT.EXTRAORD.LEI 7756/89-ATIV;X;X
00229;GRAT.EXTRAORD.LEI 7756/89-APOS;X;X
00230;GRAT.EXTRAORD.LEI 7757/89-ATIV;X;X
00231;GRAT.EXTRAORD.LEI 7757/89-APOS;X;X
00232;GRAT.EXTRAORD.LEI 7758/89-ATIV;X;X
00233;GRAT.EXTRAORD.LEI 7758/89-APOS;X;X
00234;GRAT.EXTRAORD.LEI 7759/89-ATIV;X;X
00235;GRAT.EXTRAORD.LEI 7759/89-APOS;X;X
