CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
08997;MS 9526560-5 11VJF/MG IN QUIN;X;X
08998;MS 9526560-5 11VJF/MG IN QUIN;X;X
08999;MS 9619-0  JCJ/BA ABONO PECUNI;X;X
09000;MS 9521143-2 5V/DF ABONO PEC;X;X
09001;MS 963-4 6VF/GO ABONO PECUNI;X;X
09002;AO 96110082-0 VF/RS ABONO PECU;X;X
09003;AO 951100075-8 VF/RS ABONO PEC;X;X
09004;MS 963-4 6VJF/GO ABONO PECUN;X;X
09005;P 23069000189/9685 17JF/RJ A P;X;X
09006;P 230690000969604 17VF/RJAB PE;X;X
09007;P 040000004839691 1JF/MS AB PE;X;X
09008;MS 9511671-5 6JF/GO ABONO PECU;X;X
09009;MS 958039-7 6JF/SC ABONO PECUN;X;X
09010;MS 9652-2 3VJF/SC ABONO PECUNI;X;X
09011;MS 9524692-9 12VJF/RS AB PEC;X;X
09012;MS 961-8 ABONO PECUNIARI;X;X
09013;MS 950019869-0 17VJF/DF AB PEC;X;X
09014;MS 96640-7 3VJF/DF ABONO PEC.;X;X
09015;P 040000004679635 3JF/MG AB PE;X;X
09016;AO 951003253-0 2JF/RG AB. PEC.;X;X
09017;MS 9666-2 2VJF/CE ABONO PECUN.;X;X
09018;MS 9511-5 7VF/BA ABONO PECUNIA;X;X
09019;MS 9517628-9 JCJ/BA ABONO PEC.;X;X
09020;MS 9520753-2 PRO LABORE AT;X;X
09021;MS 95.20753-2 PRO LABORE AT;X;X
09022;MS 9651-4 PRO LABORE AT;X;X
09023;MS 9651-4 PRO LABORE AP;X;X
09024;MS 96220-7 PRO LABORE AT;X;X
09025;MS 96220-7 PRO LABORE AP;X;X
09026;MS 96355-6 PRO LABORE AT;X;X
09027;MS 96355-6 PRO LABORE AP;X;X
09028;MS 9520753-2  PRO LABORE AP;X;X
09029;MS IPEA 0400000135696_18 AB PE;X;X
09030;MS 96727-6 3VSJ/DF  ABONO PEC;X;X
09031;MS 96126-0 13V/DF ABONO PECUN.;X;X
09032;DESC.ABONO MP 1.195/95  AT;X;X
09033;P 04000.000120/96-32AB.AT;X;X
09034;MS 95.20365-0 PRO LABORE AT;X;X
09035;MS 95.20365-0 PRO LABORE AP;X;X
09036;MS 95.20363-4 PRO LABORE AT;X;X
09037;MS 95.20363-4 PRO LABORE AP;X;X
09038;MS 9520557-2 PRO LABORE AT;X;X
09039;MS 9520557-2 PRO LABORE AP;X;X
09040;MS 96218-5 PRO LABORE AT;X;X
09041;MS 96218-5 PRO LABORE AP;X;X
09042;MS 95.21018-5 PRO LABORE AT;X;X
09043;MS 95.21018-5 PRO LABORE AP;X;X
09044;MS 961078-1  PRO LABORE AT;X;X
09045;MS 961078-1 PRO LABORE AP;X;X
09046;MS 961081-1  PRO LABORE AT;X;X
09047;MS 961081-1  PRO LABORE AP;X;X
09048;MS 950020703-6 PRO LABORE AT;X;X
09049;MS 950020703-6 PRO LABORE AP;X;X
09050;MS 96.1181-8 PRO LABORE AT;X;X
09051;MS 96.1181-8 PRO LABORE AP;X;X
09052;MI 6279/95 PENSAO ESTATUTARIA;X;X
09053;MS 9210754-0 5VF/PE PENS. ESPE;X;X
09054;AO 918776-9 1V.CE/PCCS ATIVO;X;X
09055;AO 918776-9 1V./CE PCCS APOSEN;X;X
09056;AO 880019597-0 7V/RJ 12 REF AT;X;X
09057;AO 880019597-0 7V/RJ 12 REF AP;X;X
09058;MS 932646-1   6V/DF GRAT.AT;X;X
09059;MS 932646-1 6V/DF GRATIF. APOS;X;X
09060;AO 292/89 2AV/MS ATIVO AD.PCCS;X;X
09061;AO 292/89 2V/MS PCCS APOSENTAD;X;X
09062;RT 1653/89 3JCJ/PB INC QUI FC;;
09063;RT 1653/89 3JCJ/PB INC QUIN FC;;
09064;MS 9118902-2 4VJF/DF ABATE TET;X;X
09065;MS 9118902-2 4VJF/DF ABATE TET;X;X
09066;MS 95.19214-4 PRO LABORE AT;X;X
09067;MS 95.19214-4 PRO LABORE AP;X;X
09068;RT 822/89 2A.JCJ/MT PCCS ATIV;X;X
09069;RT 822/89 2A.JCJ/MT PCCS INAT;X;X
09070;RT 1321/89 32JCJ/SP PCCS ATIV;X;X
09071;RT 1321/89 32JCJ/SP PCCS INAT;X;X
09072;MS 964-2 3VF/SC  ABON.PEC.;X;X
09073;MS 961754-9 6AV/CE.AB.PECUNIA;X;X
09074;RT 4912361-01 4J/CE 84,32% AT;X;X
09075;RT 4912361-01 4J/CE 84,32% IN;X;X
09076;AO 9525584-7 1V/CE ANUE AT;X;X
09077;AO 9525584-7 1AV/CE ANUE IN;X;X
09078;MS 9562246-7 21V/SP AB PEC A;X;X
09079;MS 96794-2 7V/DF AB PEC. ATIVO;X;X
09080;MS 9669-7 9V/PR AB PEC AT;X;X
09081;MS 9675-1 4V/AL AB PEC AT;X;X
09082;MS 9611-5 4V/ES AB PECUN ATIVO;X;X
09083;MS 95103827-0 3V/MG AB PEC AT;X;X
09084;MS 95103826-2 3V/MG AB PEC AT;X;X
09085;MS 9680-8 5V/ES AB PEC ATIV;X;X
09086;MS 96896-5 6V/MG AB PEC AT;X;X
09087;P 04000014245/95-09 16V/DF ABO;X;X
09088;P 04000014272/95-73 16V/DF ABO;X;X
09089;P 04000014267/95-33 16V/DF ABO;X;X
09090;MS 96164-2 7V/DF AB PEC ATIVO;X;X
09091;MS 9650-6 3V/DF AB PEC ATIVO;X;X
09092;MS 957973-9 1V/SC AB PEC ATIVO;X;X
09093;MS 96448-0 17V/DF AB PEC ATIVO;X;X
09094;MS 96543-5 7V/DF AB PEC ATIVO;X;X
09095;AO 96595-8 3V/AL AB PEC AT;X;X
09096;MS 96795-0 17V/DF AB PEC ATIVO;X;X
09097;MS 96642-3 16V/DF AB PEC ATIVO;X;X
09098;AO 9511703-7 6V/GO AB PEC AT;X;X
09099;MS 589/95 17V/DF AB PEC ATIVO;X;X
09100;MS 9664-6 2V/CE ABONO PEC ATIV;X;X
09101;MS 9665-4 2V/CE ABONO PEC ATIV;X;X
09102;MS 9631-0 1V/CE AB PEC AT;X;X
09103;MS 616/95 17JF/DF AB PEC ATIVO;X;X
09104;MS 950025326-7 2V/RS AB PEC AT;X;X
09105;P 21042000055/96-91 2V/RS A PE;X;X
09106;MS 9520911-0 15V/DF AB PECUN;X;X
09107;AO 9515729-2 5V/DF 28,86% ATIV;X;X
09108;AO 9515729-2 5V/DF 28,86% APOS;X;X
09109;RT 755/87 6JCJ/PE 21,58% ATIVO;X;X
09110;RT 755/87 6JCJ/PE 21,58% APOSE;X;X
09111;P 8826898-6 19VF/RJ HON ADV AT;X;X
09112;P 8826898-6 19VF/RJ HON ADV AP;X;X
09113;MS 950023197-2 JCJ/CE IRPF ATI;X;X
09114;MS 9523197-2 JCJ/CE IRPF APO;X;X
09115;MS 9512380-0 17VF/DF IN QUI AT;X;X
09116;MS 9512380-0 17VF/DF IN QUI AP;X;X
09117;AO 9515368-8 3V/CE DIF. DAI/FG;X;X
09118;AO 9515368-8 3V/CE DIF. DAI/FG;X;X
09119;MS 9515248-7 4V/DF IN QUIN ATI;X;X
09120;MS 9515248-7 4V/DF IN QUIN APO;X;X
09121;MS 9514370-4 17V/DF IN QUIN AT;X;X
09122;MS 9514370-4 17V/DF IN QUIN AT;X;X
09123;RT 1748/88 13JCJ/RJ ISONOMIA A;X;X
09124;RT 1748/88 13JCJ/RJ ISONOMIA I;X;X
09125;AO 874043-6 8VF/RJ REPOSIC. AT;X;X
09126;AO 874043-6 8VF/RJ REPOSIC. AP;X;X
09127;RT 053911005-01 3JCJ/PE PCCS A;X;X
09128;RT 053911005-01 3JCJ/PE PCCS I;X;X
09129;AO 939058-5 1VF/RN ANUENIO ATI;;X
09130;AO 939058-5 1VF/RN ANUENIO APO;;X
09131;AO 9314933-4 5VF/RN ANUENIO AT;;X
09132;AO 9314933-4 5VF/RN ANUENIO AP;;X
09133;AC 943997-2 3VF/MS 28,86% ATIV;X;X
09134;AC 943997-2 3VF/MS 28,86% APOS;X;X
09135;AO 92585-3 3VF/CE ANUENIO;;X
09136;AO 92585-3 3VF/CE ANUENIO;;X
09137;AO 872878-9 6VF/RJ 12 REF.;X;X
09138;AO 872878-9 6VF/RJ 12 REF.;X;X
09139;RT 2308/86 3JCJ/RJ ENQUADRAM.;X;X
09140;RT 2308/86 3JCJ/RJ ENQUADRAM.;X;X
09141;MS S/N 3V/MG DPF ABONO PECUNIA;X;X
09142;MS 96161-8 4VJF/DF ABONO PEC;X;X
09143;MS 9646-8 7IF/DFABON PEC;X;X
09144;MS 96163-4  13JF/DF AB PEC;X;X
09145;MS 950103825-4 3VJF/MG AB PEC;X;X
09146;MS S/N P 4000001358/96-35 A PE;X;X
09147;MS S/N P 4000001358/96-35 A PE;X;X
09148;MS 96129-4 2VJF/DF AB PEC;X;X
09149;MS 96452-8 2VJF/DF AB PEC;X;X
09150;MS 96451-0 3VJF/DF ABONO PEC;X;X
09151;MS 96219-3 16VJF/DF AB PEC;X;X
09152;MS 95020956-0 14VJF/DF AB PEC;X;X
09153;MS 9669-7 2VJF/CE ABONO PEC;X;X
09154;MS 9669-7 14VF/DF AB PEC;X;X
09155;MS 9562246-7 21VJF/SP AB PEC;X;X
09156;MS 4000000175/96-20 3VJF/MG;X;X
09157;MS 9632-8 21VF/SP AB PEC;X;X
09158;MS 96591-5 3VJF/AL AB PEC;X;X
09159;MS 9645-0 3VJF/PB AB PEC;X;X
09160;MS 95486-2 3VJF/AL AB PEC;X;X
09161;MS 96757-8 17VJF/DF AB PEC;X;X
09162;MS 96226-6 JF/AL AB PEC;X;X
09163;AO 951003256-51VJF/RG/RS AB PE;X;X
09164;MS 96563-0 8VJF/MG ABONO PEC;X;X
09165;MS 9686-7 3VJF/PB ABONO PEC;X;X
09166;MS 9526638-5 8VJF/MG AB PEC;X;X
09167;MS 96280-0 2VJF/SE ABONO PEC;X;X
09168;MS 956241-0 2VJF/SE AB PEC;X;X
09169;MS 96962-7 3VJF/CE AB PEC;X;X
09170;MS 96964-3 5JF/CE AB PEC;X;X
09171;MS 96965-1 5VJF/CE AB PEC;X;X
09172;AO 7415427/86 6VJF/SP REV PROV;X;X
09173;RT 196 3JCJ/PB QUINTOS;;X
09174;RT 196 3JCJ/PB QUINTOS;;X
09175;AO 9525583-9 7VJF/CE ANUENIO;;X
09176;AO 9525583-9 7VJF/CE ANU  IN;;X
09177;AO 9526944-9 ART 192 APOS;X;X
09178;MC 934249-1 3VF/MS 28,86 ATIV;X;X
09179;MC 934249-1 3VF/MS 28,86% IN;X;X
09180;AC 91692-0 1VF/CE DESC SIN ATI;X;X
09181;AO 91692-0 1VF/CE DESC SIN IN;X;X
09182;RT 197079107-9 7JCJ 100% ATIVO;X;X
09183;RT 1970791079 7JCJ 100% APOSEN;X;X
09184;RT 890403931-2 3VF/SC COMP AP;X;X
09185;P 107830002089692 5V/ES AB PEC;X;X
09186;MS 96516-8 4VF/ES AB PEC AT;X;X
09187;MS 96515-0 2V/ES AB PEC AT;X;X
09188;MS 96322-0 3V/ES AB PEC AT;X;X
09189;MS 96729-2 2VJF/DF AB PEC ATIV;X;X
09190;P 040000005449684 3V/MG AB PEC;X;X
09191;MS 961348-9 6V/DF AB PEC AT;X;X
09192;MS 7162 4V/PB ABONO PECUNIARIO;X;X
09193;P 4631200457419551 1V/MS AB PE;X;X
09194;MS 96537-0 4V/DF ABONO PECUNIA;X;X
09195;MS 96536-2 3V/DF ABONO PECUNIA;X;X
09196;MS 961083-0 17V/DF ABONO PECUN;X;X
09197;MS 96926-0 8V/DF ABONO PECUNIA;X;X
09198;MS 96633-4 5/RN HON ADV/AB PEC;X;X
09199;MS 966-9 1VJF/PI ABONO PECUNIA;X;X
09200;MS 96716-0 8VJF/DF ABONO PECUN;X;X
09201;MS 96795-0 17V/DF ABONO PECUNI;X;X
09202;MS 96635-0 3V/DF ABONO PECUNI;X;X
09203;MS 96160-0 1VJF/MS ABONO PECUN;X;X
09204;MS 96794-2 7VJF/DF ABONO PECUN;X;X
09205;MS 96543-5 7VJF/DF ABONO PECUN;X;X
09206;MS 94449-8 15VJF/DF ABONO PEC;X;X
09207;MS 96641-5 15VJF/DF ABONO PEC;X;X
09208;MS 9511480-1 1VF/PB  PSS 6% AT;X;X
09209;MS 952896-4 2VF/RO PSS 6% ATIV;X;X
09210;MS 7161 4VF/PB PSS 6% ATIVO;X;X
09211;MS 9524408-0 6VF/CE PSS 6% ATI;X;X
09212;MS 9524242-7 4VF/CE PSS 6%;X;X
09213;MS 9512095-0 1VF/CE PSS 6% ATI;X;X
09214;MS 9524607-4 8VF/CE PSS 6%;X;X
09215;MS 953110-8 1VF/RO PSS 6% ATIV;X;X
09216;MS 961082-0 17VF/DF PRO LAB AT;X;X
09217;MS 961082-0 17VF/DF PRO LAB AP;X;X
09218;MS 961183-4 5V/DF PRO LABORE;X;X
09219;MS 961183-4 5V/DF PRO LABORE;X;X
09220;MS 961487-6 1V/DF PRO LABOR AT;X;X
09221;MS 961487-6 1V/DF PRO LABOR AP;X;X
09222;MS 961520-1 4V/DF PRO LABOR AT;X;X
09223;MS 961520-1 4V/DF PRO LABOR AP;X;X
09224;MS 9519372-8 4 V/DF PRO LABORE;X;X
09225;MS 9519372-8 4V/DF PRO LABORE;X;X
09226;MS 961519-8 5V/DF PRO LABOR AT;X;X
09227;MS 961519-8 5V/DF PRO LABOR AP;X;X
09228;MS 961517-1 16V/DF PRO LABORE;X;X
09229;MS 961517-1 16V/DF PRO LABORE;X;X
09230;AO 9511703-7 6V/GO ABON PEC AT;X;X
09231;P 23000069223796-35 AB PEC  AT;X;X
09232;P 2300006923896-06 AB PEC ATIV;X;X
09233;MS 961755-7 6V/DF PRO LABOR AT;X;X
09234;MS 961755-7 6V/DF PRO LABOR AP;X;X
09235;MS 961754-9 7V/DF PRO LABOR AT;X;X
09236;MS 961754-9 7V/DF PRO LABOR AP;X;X
09237;MS 961756-5 7V/DF PRO LABOR AT;X;X
09238;MS 961756-5 7V/DF PRO LABOR AP;X;X
09239;MS 961758-1 7V/DF PRO LABOR AT;X;X
09240;MS 961758-1 7V/DF PRO LABOR AP;X;X
09241;MS 961518-0 1V/DF PRO LABOR AT;X;X
09242;MS 961518-0 1V/DF PRO LABOR AP;X;X
09243;RT 1425/89 1JCJ/SP PCCS ATIVO;X;X
09244;RT 1425/89 1JCJ/SP PCCS APOSEN;X;X
09245;AO 937729-5 5V/RN ANUENIO ATIV;;X
09246;AO 937729-5 5V/RN ANUENIO APO.;;X
09247;AO 939057-7 5V/RN ANUENIO ATIV;;X
09248;AO 939057-7 5V/RN ANUENIO APOS;;X
09249;MS 9511138-1 5V/PR IN QUIN AT;;X
09250;MS 9511138-1 5V/PR IN QUIN APO;;X
09251;MS 959082-1 5V/CE G.R. 100%;X;X
09252;MS 959082-1 5V/CE G.R. 100%;X;X
09253;AC 943218-8 3V/MS 28,86% ATIVO;X;X
09254;AC 943218-8 3V/MS 28,86% APOSE;X;X
09255;MS 9516954-1 4V/DF IN QUIN ATI;X;X
09256;MS 9516954-1 4V/DF IN QUIN APO;X;X
09257;AO 944081-4 3V/SC 28,86% ATIVO;X;X
09258;AO 944081-4 3V/SC 28,86% APOSE;X;X
09259;RT 316/90 1JCJ/GO 60 HOR EXTRA;X;X
09260;RT 316/90 1J/GO EQUIP. PROVENT;X;X
09261;RT 13187-3 JCJ/GO 60 HOR EXTRA;X;X
09262;RT 13187-3 JCJ/GO 60 HOR EXTRA;X;X
09263;RT 11/83-XI 1JCJ/GO 60 HOR EXT;X;X
09264;RT 11/83-XI 1JCJ/GO 60 HOR EXT;X;X
09265;RT 1056/89 2JCJ/MS PCCS ATIVO;X;X
09266;RT 1056/89 2JCJ/MS PCCS APOSEN;X;X
09267;RT 1289/89 43JCJ/SP PCCS ATIVO;X;X
09268;RT 1289/89 43JCJ/SP PCCS APOSE;X;X
09269;RT 1095/89 1JCJ/SP PCCS ATIVO;X;X
09270;RT 1095/89 1JCJ/SP PCCS APOSEN;X;X
09271;RT 595/89 27JCJ/RJ PCCS ATIVO;X;X
09272;RT 595/89 27JCJ/RJ PCCS APOSEN;X;X
09273;RT 1423/89 2JCJ/SP PCCS ATIVO;X;X
09274;RT 1423/89 2JCJ/SP PCCS APOSEN;X;X
09275;RT 1423/89 1JCJ/SP PCCS ATIVO;X;X
09276;RT 1423/89 1JCJ/SP PCCS APOSEN;X;X
09277;MS 953043-8 1VF/RO PSS 6% ATIV;X;X
09278;RT 1862/89 INSS/MS PCCS ATIVO;X;X
09279;RT 1862/89 INSS/MS PCCS APOSEN;X;X
09280;RT 954/89 2JCJ/RS AD QUEB CAIX;X;X
09281;AO 2000/71_1V/SC PENSAO INDENI;X;X
09282;MS 9520754-0 2VF/DF PRO LAB AT;X;X
09283;MS 9520754-0 2VF/DF PRO LAB AP;X;X
09284;MS 961157-5 GAE ETFCE ATIVO;X;X
09285;MS 961157-5 GAE ETFCE APOS;X;X
09286;MS 961157-5 GADF ETFCE ATIV;X;X
09287;MS 961157-5 GADF ETFCE AP;X;X
09288;RT 8905016456 4/CE A 3 DL 1971;X;X
09289;RT 8905016456 4/CE A 3 DL 1971;X;X
09290;MS 961060-9 16V/DF ABONO PEC;X;X
09291;MS 961476-0 7V/DF ABONO PECUNI;X;X
09292;MS 961478-7 2V/DF ABONO PECUNI;X;X
09293;MS 9622-4 3V/RS ABONO PECUNIAR;X;X
09294;MS 9611-5 1V/PI ABONO PECUNIAR;X;X
09295;MS 9630-1 8V/DF ABONO PECUNIAR;X;X
09296;MS 961179-6 2V/DF ABONO PEC AT;X;X
09297;MS 961295-4 3V/CE ABONO PEC AT;X;X
09298;MS 96963-5 8V/CE ABONO PEC  AT;X;X
09299;MS 96967-8 4V/CE ABONO PEC  AT;X;X
09300;MS 96570-2 5V/CE ABONO PEC  AT;X;X
09301;MS 951368-3 5V/CE ABONO PEC AT;X;X
09302;MS 951370-5 5V/CE ABONO PEC AT;X;X
09303;MS 961367-5 6V/CE ABONO PEC AT;X;X
09304;MS 961371-3 6V/CE ABONO PEC AT;X;X
09305;MS 961369-1 8V/CE ABONO PEC AT;X;X
09306;RT 003930565-01   REP.12 REF;X;X
09307;RT 003.93.0565-01 REP.12 REF.;X;X
09308;MS 961296-2 4V/CE ABONO PEC AT;X;X
09309;MS 961373-0 4V/CE ABONO PEC AT;X;X
09310;MS 961636-4 1VJF/CE ABONO PEC.;X;X
09311;MS 961400-0 2VJF/DF ABONO PEC.;X;X
09312;P 04000001317/96-58 3V/BH AB P;X;X
09313;MS 96640-7 3V/DF ABONO PEC AT;X;X
09314;MS 96727-6 3V/DF ABONO PEC AT;X;X
09315;MS 96301-7 8V/DF ABONO PEC  AT;X;X
09316;MS 96729-2 2V/DF ABONO PEC  AT;X;X
09317;DEC 614/95 17V/DF ABONO PEC AT;X;X
09318;DEC 618/95 17V/DF ABONO PEC AT;X;X
09319;DEC 627/95 17V/DF ABONO PEC AT;X;X
09320;MS 96926-0 8V/DF ABONO PEC  AT;X;X
09321;MS 9562187-8 4V/SP ABONO PECUN;X;X
09322;MS 961366-7 8V/DF ABONO PEC AT;X;X
09323;MS 961476-0 7V/DF ABONO PEC AT;X;X
09324;MS 961408-6 4V/DF AB PEC AT;X;X
09325;P 0400000054696-18 3V/MG AB PE;X;X
09326;P 0400000054596-47 3V/MG AB PE;X;X
09327;MS 961083-0 17V/DF ABON PEC AT;X;X
09328;MS 9651-4 4V/DF PRO LABORE ATI;X;X
09329;MS 9651-4 4V/DF PRO LABORE APO;X;X
09330;MS 9651-4 4V/DF PRO LABORE ATI;X;X
09331;MS 9651-4 4V/DF PRO LABORE APO;X;X
09332;MS 961757-3 9V/DF PRO LABOR AT;X;X
09333;MS 961757-3 9V/DF PRO LABOR AP;X;X
09334;AC 956654-8 15V/MS ABONO PEC.;X;X
09335;AC 96103-0 3V/MS ABONO PEC. AT;X;X
09336;MS 96337-8 5V/PA ABONO PEC. AT;X;X
09337;MS 9679-4 1V/BA ABONO PEC. ATI;X;X
09338;MS 968-5 1V/PI ABONO PEC. AT;X;X
09339;MS 961638-0 7V/CE ABONO PEC AT;X;X
09340;MS 961305-5 7V/CE ABONO PEC AT;X;X
09341;MS 961146-0 12V/RS AB PECUN AT;X;X
09342;MS 961184-2 6V/DF AB PECUN  AT;X;X
09343;MS 961478-7 17V/DF ABON PEC AT;X;X
09344;MS 956505-3 1V/MS AB PEC ATIVO;X;X
09345;MS 96536-2 3V/DF ABONO PEC  AT;X;X
09346;P 210000009096-70 3V/SC AB PEC;X;X
09347;MS 1695 3VF/MS ABONO PECUN. AT;X;X
09348;MS 96211-8 30VJF/RJ AB.PEC AT;X;X
09349;MS 96304-1 1VJ/RJ AB.PEC AT;X;X
09350;MS 9525789-0 15VJF/RJ AB AT;X;X
09351;MS 961932-0 16V/DF PRO LABO AT;X;X
09352;MS 961932-0 16V/DF PRO LABO AP;X;X
09353;AC 9515137-5 5VF/CE ISO DPF AT;X;X
09354;AC 9515137-5 5VF/CE ISO DPF AP;X;X
09355;MS OF 1121 3V/MG ABONO PECUNIA;X;X
09356;MS 961084-6 8VJF/DF AB PEC. AT;X;X
09357;MS 9526905-8 2V/CE PSS 6% ATIV;X;X
09358;MS 9612-3 1VF/PI ABON PEC AT;X;X
09359;MC 9524768-2 5V/RS AB PEC AT;X;X
09360;MS 961158-3  5V/MG ABONO PEC.;X;X
09361;MS 96895-7 8V/MG ABONO PEC. AT;X;X
09362;MS 961663-1 7V/DF ABONO PEC AT;X;X
09363;MS 96940-6 VJF/DF ABONO PEC AT;X;X
09364;MS 961772-7 3VJF/DF AB PEC  AT;X;X
09365;MS 961297-0 2V/CE ABONO PEC AT;X;X
09366;AO 9517451-0 2V/PR ABONO PE AT;X;X
09367;MS 96147-2  2VJF/MT AB PEC  AT;X;X
09368;MS 961206-7 6VF/RS AB PECUN AT;X;X
09369;MS 9673-5 6VF/CE ABONO  PEC AT;X;X
09370;MS 961306-3 1V/CE ABONO PEC AT;X;X
09371;MS 96720-9 4VJF/DF ABON PEC AT;X;X
09372;MS 9631-0 15VJF/SP ABONO PECUN;X;X
09373;DEC 623/95 17VJF/DF ABONO  PEC;X;X
09374;MS 96488-9 3VJF/AL ABONO PECUN;X;X
09375;MS 96485-4 JF/AL ABONO PEC. AT;X;X
09376;AO 956275-7 JF/AL ABONO PEC AT;X;X
09377;MS 96616-4 2VJF/RN ABONO PECUN;X;X
09378;MS 9560973-8 16V/SP ABONO PEC.;X;X
09379;MS 96509-5 4VJF/AL ABONO PECUN;X;X
09380;MS 96507-9 4VJF/AL ABONO PECUN;X;X
09381;MS 961023-4 6VJF/MG ABONO PEC.;X;X
09382;MS 96563-0 8VJF/MG ABONO PECUN;X;X
09383;MS 961080-3 15VJF/DF AB PEC AT;X;X
09384;MS 96537-0 4VJF/DF ABONO PECUN;X;X
09385;MS 961637-2 6VJF/CE ABONO PEC.;X;X
09386;MS 961635-6 2VJF/CE ABONO PEC.;X;X
09387;MS 96466-8 8VJF/DF ABONO PECUN;X;X
09388;MS 96757-8 17VJF/DF ABONO PEC.;X;X
09389;MS 961057-9 7VJF/DF ABON PECUN;X;X
09390;MS 96642-3 17VJF/DF ABONO PEC.;X;X
09391;MS 961373-0 7VJF/DF ABONO PEC.;X;X
09392;DEC 621/95 17VJF/DF ABONO PEC.;X;X
09393;MS 9617-4   1V/PI ABONO PEC AT;X;X
09394;MS 9520911-0 15VJF/DF AB PECUN;X;X
09395;DEC 610/95 17VJF/DF ABONO PEC.;X;X
09396;DEC 613/95 17VJF/DF ABONO PEC.;X;X
09397;MS 96641-5 15VJF/DF ABO PECUNI;X;X
09398;MS 96162-6 1VJF/DF ABONO PECUN;X;X
09399;MS 96363-7 2V/ES ABONO PEC. AT;X;X
09400;MS 961387-0 17VF/DF ABONO PEC.;X;X
09401;MS 96746-2 3VF/RJ ABONO  PECUN;X;X
09402;MS 961397-7 2VJF/DF ABONO PEC.;X;X
09403;MS 961378-0 8VJF/DF ABONO PEC.;X;X
09404;MS 961086-2 2VJF/DF ABONO PEC.;X;X
09405;MS 961370-5 2VJF/DF ABONO PEC.;X;X
09406;RT 1191/89 3JCJ/MS PCCS ATIVO;X;X
09407;RT 1191/89 3JCJ/MS PCCS APOSEN;X;X
09408;MS 961371-5 7VJF/DF ABONO PEC.;X;X
09409;MS 9630-1 8VJF/DF ABONO PEC AT;X;X
09410;MS 9649-2 2VJF/CE ABONO PEC AT;X;X
09411;AO 956272-0 2VJF/AL ABONO PEC.;X;X
09412;MS 961179-6 2VJF/DF ABONO PEC.;X;X
09413;MS 9636227-0 2VJF/DF ABONO PEC;X;X
09414;MS 96614-8 2VJF/RN ABONO PECUN;X;X
09415;MS 962056-6 8VJF/CE ABONO PEC.;X;X
09416;P 0400001427195-19 16V/DF ABON;X;X
09417;MS 961145-1 4VF/CE ABONO PECUN;X;X
09418;MS 961186-9 9VF/DF ABONO PECUN;X;X
09419;MS 961524-4 7VF/DF ABONO PECUN;X;X
09420;MS 961385-3 16VF/DF ABONO PEC.;X;X
09421;MS 961391-8 16V/DF ABONO PECUN;X;X
09422;MS 96627-0 14VF/DF ABONO PECUN;X;X
09423;MS 961023-4 7VF/MG ABONO PECUN;X;X
09424;MS 961375-6 16V/DF ABONO PECUN;X;X
09425;MS 9561966-0 18VF/SP ABONO PEC;X;X
09426;MS 952992-8 1VF/RO DEV. PSS AT;X;X
09427;MS 952984-7 1VF/RO DEV. PSS AT;X;X
09428;MS 952993-6 1VF/RO DEV. PSS AT;X;X
09429;MS 952982-0 1VF/RO DEV. PSS AT;X;X
09430;MS 952981-2 1VF/RO DEV. PSS AT;X;X
09431;MS 952980-4 2VF/RO PSS 6% ATIV;X;X
09432;MS 952983-9 2VF/RO PSS 6% ATIV;X;X
09433;MS 952990-1 2VF/RO PSS 6% ATIV;X;X
09434;MS 953059-4 2VF/RO PSS 6% ATIV;X;X
09435;MS 961917-7 1VJF/DF PRO LABORE;X;X
09436;MS 961917-7 1VJF/DF PRO LABORE;X;X
09437;MS 952994-0 2VF/RO PSS 6% ATIV;X;X
09438;MS 9511768-1 3VF/PB PSS 6% ATI;X;X
09439;AC 943499-7 1V/CE DEV. AB TETO;X;X
09440;AC 943499-7 1V/CE DEV. AB TETO;;
09441;AC 944101-2 1VF/CE IN QUIN ATI;X;X
09442;AC 944101-2 1VF/CE IN QUIN APO;X;X
09443;MS 96148-0 1VF/MT ABONO PEC AT;X;X
09444;MS 9634-4 21VF/SP ABONO PEC AT;X;X
09445;MS 9611-5 21VF/SP ABONO PEC AT;X;X
09446;MS 9632-8 21VF/SP ABONO PEC AT;X;X
09447;MS 9680-8 5VF/ES ABONO PEC ATI;X;X
09448;MS 96200005-8 JF/MG ABONO PEC.;X;X
09449;MS 953057-8 1VF/RO PSS 6% ATIV;X;X
09450;RT 1575/89 1JCJ/MS PCCS ATIVO;X;X
09451;RT 1575/89 1JCJ/MS PCCS APOSEN;X;X
09452;RT 69349106-0 6J/AM P. BRESSER;X;X
09453;RT 69349106-0 6J/AM P. BRESSER;X;X
09454;RT 69349106-0 6J/AM URP FEV/89;X;X
09455;RT 69349106-0 6J/AM URP FEV/89;X;X
09456;MS 9631-0 15VF/SP AB PECUNI AT;X;X
09457;MS 96200006-6 VU/UBERABA AB P;X;X
09458;MS 96200008-2 VU/UBERABA AB P;X;X
09459;MS 958012-5 2VJF/SC AB PEC  AT;X;X
09460;MS 96405-6 5VJF/ES AB PEC   AT;X;X
09461;MS 96200007-4 VU/UBERABA AB P;X;X
09462;MS 610/95 17VJF/DF AB PEC   AT;X;X
09463;MS 9629-8 21VJF/SP AB PEC   AT;X;X
